Command,Latency
del,26411071
put,23576335
store,15057529
del,27964700
get,27908268
store,29038237
put,24580100
get,14892213
get,18464898
store,27855887
put,13089668
put,23222516
del,27436767
put,24371274
store,26703009
get,14561233
get,26680940
del,25447953
store,15803299
get,16837096
store,28473009
del,28444513
store,27665009
del,14390121
store,15765584
put,24328530
get,29756280
store,26658730
store,24331184
del,29117019
del,28472729
del,18945338
get,26388442
get,27190994
del,29691677
put,12753101
del,28138327
get,25617949
get,34848721
del,14709577
put,24433573
get,27708731
get,28871874
del,29763055
get,15504236
put,23530658
put,16873274
put,18805865
store,27581339
del,25994046
put,16841287
put,18093340
put,25340886
get,24166358
del,20178534
del,28910637
get,28583148
store,28485929
del,15691203
put,13787875
put,24171805
get,26565701
get,26764191
del,26566957
del,14531900
get,19292383
del,28001717
get,27277039
put,14469252
del,28615695
put,24451800
store,27815868
put,15262863
store,25805333
store,22610563
put,24032680
store,17370268
del,15001725
get,23728450
store,16856932
put,13689957
get,27838706
put,24307997
store,15475671
store,26986357
put,12523740
get,26030783
get,27861125
put,22419546
store,15370210
get,27632952
del,24231799
store,28154041
del,31108067
del,27252035
put,26002357
put,22694583
get,17723597
store,27084136
store,29880738
put,22183272
del,29895265
store,34145694
del,15562065
get,28649568
del,14802746
put,23644291
put,13173339
del,27521625
put,23115729
put,22239075
put,23384689
get,26877753
store,26387534
get,26431255
put,22827422
del,27186174
put,28940180
put,23650646
store,15790028
del,27997945
get,27336055
del,26356664
store,27611790
put,13755260
del,27187083
store,27119057
put,24449915
store,26366792
del,16660326
get,26882084
del,28237083
store,28878160
store,26743378
store,26464500
del,27373700
put,23819943
store,25389775
del,26712229
put,24616697
put,22424644
put,23070402
del,27840243
del,30325071
put,13870010
get,29300354
store,15058506
del,15304629
del,26674095
del,27136029
get,26563326
del,27496341
del,17318306
get,27209641
put,23028426
get,27300436
put,23311774
del,27635327
exit,760158
